Experiement,Stimulus Range,Stim Duration,Stim Delay,Initial Vm,gLeak,gNa,gKHT,gKLT,gIH,gKA,ELeak,EK,ENa,cam,kam,cbm,kbm,Folder,group
all_fitted_params_sweep_8_clipped_510ms_10142022_P9_FVB_PunTeTx_TeNT_60pA_S1C1_20250624_103404,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,4.62,118.41,188.1,3.91,10.38,112.37,-70.0,-106.81 mV,62.77 mV,60.88,0.03,5.67,-0.04,simulation_all_fitted_params_sweep_8_clipped_510ms_10142022_P9_FVB_PunTeTx_TeNT_60pA_S1C1_20250624_103404,TeNT
all_fitted_params_sweep_22_clipped_510ms_12232024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S1C1_20250620_125707,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,14.3,246.27,398.05,11.39,7.61,11.58,-72.91,-106.81 mV,62.77 mV,97.56,0.03,8.87,-0.05,simulation_all_fitted_params_sweep_22_clipped_510ms_12232024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S1C1_20250620_125707,TeNT
all_fitted_params_sweep_8_clipped_510ms_10142022_P9_FVB_PunTeTx_TeNT_60pA_S1C1_20250620_125516,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,4.62,168.14,276.63,6.19,10.38,33.57,-70.0,-106.81 mV,62.77 mV,75.31,0.04,8.64,-0.03,simulation_all_fitted_params_sweep_8_clipped_510ms_10142022_P9_FVB_PunTeTx_TeNT_60pA_S1C1_20250620_125516,TeNT
all_fitted_params_sweep_22_clipped_510ms_12232024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S1C1_20250617_214723,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,14.3,215.18,165.07,15.81,7.61,68.14,-72.91,-106.81 mV,62.77 mV,103.64,0.04,6.95,-0.04,simulation_all_fitted_params_sweep_22_clipped_510ms_12232024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S1C1_20250617_214723,TeNT
all_fitted_params_sweep_10_clipped_510ms_12172022_P9_FVB_PunTeTx_TeNT_100pA_S2C4_20250624_103550,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,8.85,210.53,128.04,6.08,2.18,126.67,-70.17,-106.81 mV,62.77 mV,76.56,0.04,8.22,-0.03,simulation_all_fitted_params_sweep_10_clipped_510ms_12172022_P9_FVB_PunTeTx_TeNT_100pA_S2C4_20250624_103550,TeNT
all_fitted_params_sweep_12_clipped_510ms_03232022_P9_FVB_PunTeTx_TeNT_140pA_S1C2_20250620_125116,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,8.56,183.65,273.55,15.81,20.74,94.71,-70.0,-106.81 mV,62.77 mV,95.36,0.03,6.47,-0.05,simulation_all_fitted_params_sweep_12_clipped_510ms_03232022_P9_FVB_PunTeTx_TeNT_140pA_S1C2_20250620_125116,TeNT
all_fitted_params_sweep_10_clipped_510ms_12172022_P9_FVB_PunTeTx_TeNT_100pA_S2C4_20250620_125223,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,8.85,208.94,196.79,6.94,2.18,24.29,-70.17,-106.81 mV,62.77 mV,79.21,0.03,7.91,-0.04,simulation_all_fitted_params_sweep_10_clipped_510ms_12172022_P9_FVB_PunTeTx_TeNT_100pA_S2C4_20250620_125223,TeNT
,,,,,,,,,,,,,,,,,,simulation_avg_iMNTB_transposed,iMNTB
all_fitted_params_sweep_11_clipped_510ms_02062024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S4C1_20250617_232411,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,13.3,200.18,160.07,14.91,7.61,80.14,-72.91,-106.81 mV,62.77 mV,103.64,0.04,6.95,-0.04,simulation_all_fitted_params_sweep_11_clipped_510ms_02062024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S4C1_20250617_232411,TeNT
all_fitted_params_sweep_22_clipped_510ms_12232024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S1C1_20250624_103219,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,14.3,300.14,191.88,4.87,7.61,81.7,-72.91,-106.81 mV,62.77 mV,94.8,0.03,8.85,-0.05,simulation_all_fitted_params_sweep_22_clipped_510ms_12232024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S1C1_20250624_103219,TeNT
,,,,,,,,,,,,,,,,,,simulation_avg_TeNT_transposed,TeNT
all_fitted_params_sweep_11_clipped_510ms_02062024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S4C1_20250624_103040,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,9.7,172.86,112.13,6.02,23.75,99.94,-70.0,-106.81 mV,62.77 mV,85.41,0.03,5.97,-0.05,simulation_all_fitted_params_sweep_11_clipped_510ms_02062024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S4C1_20250624_103040,TeNT
all_fitted_params_sweep_12_clipped_510ms_03232022_P9_FVB_PunTeTx_TeNT_140pA_S1C2_20250624_103651,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,8.56,208.92,107.92,14.51,20.73,114.6,-70.0,-106.81 mV,62.77 mV,60.67,0.03,6.39,-0.04,simulation_all_fitted_params_sweep_12_clipped_510ms_03232022_P9_FVB_PunTeTx_TeNT_140pA_S1C2_20250624_103651,TeNT
all_fitted_params_sweep_11_clipped_510ms_02062024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S4C1_20250620_125841,-0.1 to 0.38 nA,300 ms,210 ms,-75 mV,2.5,200.96,170.03,13.09,23.76,165.1,-70.0,-106.81 mV,62.77 mV,68.81,0.05,5.22,-0.03,simulation_all_fitted_params_sweep_11_clipped_510ms_02062024_P9_FVB_PunTeTx_Dan_TeNT_120pA_S4C1_20250620_125841,TeNT
